JPN TIDLow,USA TIDLow,EUR TIDLow,CHN TIDLow,KOR TIDLow,TWN TIDLow,Product code,Description,JPN Versions,EUR Versions,USA Versions,CHN Versions,KOR Versions,TWN Versions,Status
00020000,00021000,00022000,00026000,00027000,00028000,CTR-N-HAS?,System Settings (mset),"v0, v1027, v2060, v3074, v4097, v5127, v6157, v7173, v8198(8.1.0-0_New3DS), v9224, v10245, v10256, v11266","v0, v1027, v2061, v3075, v4097, v5127, v6157, v7174, v8202, v9220, v10241(New2DSXL), v10256","v0, v1027, v2062, v3078, v4098, v5128, v6157, v7174, v8203, v9221, v10241","v8, v1024(CHN-only sysupdate for just mset), v2049, v3075","v1026, v2049, v4098","v8, v1024, v2050, v3074",Active
00020100,00021100,00022100,00026100,00027100,00028100,CTR-N-HDL?,Download Play (dlplay),"v0, v1026, v2051, v3072(Also for 8.1.0-0_New3DS)","v0, v1026, v2051, v3073","v0, v1026, v2051, v3073",v4,v1027,v4,Active
00020200,00021200,00022200,00026200,00027200,00028200,CTR-N-HMK?,Activity Log (PLOG),"v0, v1026, v2051, v2080","v0, v1026, v2054, v2064",Same as EUR,v3,"v2, v16",v2,Active
00020300,00021300,00022300,00026300,00027300,00028300,?,Health and Safety Information (safe),"v0, v1024, v2050","v0, v1024, v2050, v3077","v0, v1026, v2051",v5,v2,v5,Active
20020300,20021300,20022300,N/A,20027300,N/A,CTR-N-HAC?,New_3DS Health and Safety Information (ssafe),"v2, v17","v1, v16(New2DSXL)",Same as EUR.,N/A,v2,N/A,Active
00020400,00021400,00022400,00026400,00027400,00028400,CTR-N-HEP?,Nintendo 3DS Camera (CtrApp),"v0, v16, v1038, v2048, v3073, v4097(Also for 8.1.0-0_New3DS), v4112, v5120","v0, v16, v1039, v2048, v3073, v3088, v4097, v5120(New2DSXL), v5120","v0, v16, v1039, v2048, v3074, v3088, v4097, v5120",v3,"v2, v1040",v3,Active
00020500,00021500,00022500,00026500,00027500,00028500,CTR-N-HES?,Nintendo 3DS Sound (CtrApp),"v0, v1027, v2049, v3072, v3089, v4096","v0, v1027, v2049, v3072, v3088, v4096","v0, v1027, v2049, v3072, v3088, v4096","v2, v1024","v2, v16,v4096","v3, v1024",Active
00020700,00021700,00022700,00026700,00027700,00028700,CTR-N-HED?,Mii Maker (EDIT),"v0, v1026, v2055, v2064",Same as JPN,Same as JPN,v1,"v1, v16",v2,Active
00020800,00021800,00022800,00026800,00027800,00028800,CTR-N-HME?,StreetPass Mii Plaza (MEET),"v0, v1027, v2048, v3087, v4096, v5121","v0, v1027, v2048, v3087, v4096, v5122","v0, v1027, v2048, v3087, v4096, v5124, v5136","v0, v4096","v1, v4096, v5120","v1, v4096",Active
00020900,00021900,00022900,N/A,00027900,00028900,CTR-N-HGR?,eShop (tiger),"v4, v1026, v2057, v3081, v4096, v5123, v6146, v7169, v8206, v9231, v10245, v11265, v12288, v13320, v15366, v16384, v17421, v18432, v19465, v20483, v21504, v23552, v25600","v4, v1026, v2058, v3081, v4096, v5123, v6146, v7171, v8206, v9231, v10245, v11265, v12288, v13320, v15366, v16384, v17421, v18432, v19465, v20482, v21505, v22528, v23552, v24576(New2DSXL), v25600","v4, v1026, v2058, v3081, v4096, v5123, v6146, v7170, v8206, v9231, v10246, v11265, v12288, v13321, v15366, v16384, v17422, v18432, v19465, v20482, v21506, v23552, v25600",N/A,"v3082, v4096, v5123, v6146, v7169, v8205, v9231, v12288, v13320, v15366, v16384, v17420, v18432, v19465, v20482","v4096, v5123, v6146, v7170, v8205, v9231, v12288, v15366, v16384, v17421, v18432, v19465",Active
00020A00,00021A00,00022A00,N/A,00027A00,00028A00,CTR-N-HCB?,System Transfer (CARDBOARD),"v4, v1035, v2050, v3074, v4109, v5130, v6154","v4, v1035, v2050, v3073, v4109, v5131, v6155","v4, v1035, v2051, v3073, v4109, v5131, v6156",N/A,"v2, v1025, v2061, v3082","v2, v1025, v2061",Active
00020B00,00021B00,00022B00,N/A,N/A,N/A,CTR-N-HMA?,"Nintendo Zone (""Nintendo"") (MARS)","v0, v1034",Same as JPN,Same as JPN,N/A,N/A,N/A,Active
00020D00,00021D00,00022D00,00026D00,00027D00,00028D00,CTR-N-HCH?,Face Raiders,"v0, v1028","v0, v1028, v1040",Same as EUR,v0,v0,v2,Active
20020D00,20021D00,20022D00,N/A,20027D00,N/A,?,New_3DS Face Raiders (FACE),v2050,v2049,Same as EUR.,N/A,v2049,N/A,Active
00020E00,00021E00,00022E00,00026E00,00027E00,00028E00,CTR-N-HAR?,AR Games (AR_ACT),"v0, v1026","v0, v1026, v1040","v0, v1027, v1040",v0,"v0, v16",v1,Active
00020F00,00021F00,00022F00,00026F00,00027F00,00028F00,CTR-N-HSH?,SAFE_MODE System Updater (mset),"v0, v1024, v2049","v0, v1024, v2050",Same as JPN,"v1, v1026",v1,v1,Active
00023000,00024000,00025000,N/A,N/A,N/A,(Variable?),Promotional video,"v2, v2048","v0, v2048","v0, v2048",N/A,N/A,N/A,Stubbed
0002BF00,0002C000,0002C100,N/A,N/A,N/A,CTR-N-HAF?,Nintendo Network ID Settings (act),"v14, v1029, v2051, v3072",Same as JPN,Same as JPN,N/A,N/A,N/A,Active
20023100,20024100,20025100,N/A,N/A,N/A,CTR-N-HAJ?,microSD Management ('mcopy') (New_3DS-only),"v8, v1024",v4,v5,N/A,N/A,N/A,Available
2002C800,2002CF00,2002D000,N/A,2002D700,N/A,CTR-P-CTAP,New_3DS HOME menu digital manual,"v2, v18, v34, v50","v1, v17, v34, v48(New2DSXL)","v1, v18, v33",N/A,v2,N/A,Stubbed
2002C900,2002D100,2002D200,N/A,2002D800,N/A,CTR-P-CTAP,New_3DS Friends list digital manual,v1,Same as JPN.,"v0, v16",N/A,v2,N/A,Stubbed
2002CA00,2002D300,2002D400,N/A,2002D900,N/A,CTR-P-CTAP,New_3DS Notifications digital manual,"v0, v1(JPN-only Oct 2, 2014 ""sysupdate"", actually uploaded on 09-29-14. Identical to v0, same TMDs besides title-versions)",v2,v0,N/A,v2,N/A,Stubbed
2002CB00,2002D500,2002D600,N/A,2002DA00,N/A,CTR-P-CTAP,New_3DS Game Notes digital manual,"v0, v1",v2,Same as EUR.,N/A,v1,N/A,Stubbed
,00010002,,,,,,ClCertA,v0,,,,,,
,00010702,,,,,,NS CFA,"v0, v1028, v2048, v3073, v4096(also for 8.1.0-0_New3DS)",,,,,,
,00010802,,,,,,"This CFA only contains a 1-byte ""dummy.txt"" in the RomFS, which contains '0'.","v0, v1024, v2048, v3072",,,,,,
,00018002,,,,,,"Same contents as 00010802. Starting with 7.1.0-15, the ""dummy.txt"" file was removed from RomFS: this CFA RomFS now contains web-browser data(similar to 00018102) for NNID / networking, etc.","v14, v1025, v2055, v3078, v4096, v5120",,,,,,
,00018102,,,,,,"This contains local web-browser data(html/js, gfx, etc) for the Miiverse Offline-mode.","v11, v1025(also for 8.1.0-0_New3DS)",,,,,,
,00018202,,,,,,"This contains the webkit/OSS CROs used with the Miiverse applet and the ""act"" application.","v7, v1026(8.1.0-0_New3DS), v2050",,,,,,
,00019002,,,,,,Fangate_updater,,,,,,,
00008102,,,,,,CTR-P-CTAP,Test Menu(Demo1),"..., v64, ..., v27648",,,,,,
00008202,00008F02,00009802,0000A102,0000A902,0000B102,CTR-P-HMM?,Home Menu(menu),"v0, v1027, v2049, v3075, v4111, v5131, v6146, v7172, v8198, v9230, v10250(8.1.0-0_New3DS), v13313, v14336, v15360, v16402, v17408, v18432, v19476, v20487, v22528, v23552, v24576, v25600, v26626, v27648, v28672, v29696, v30721","v0, v1027, v2049, v3075, v4111, v5131, v6146, v7172, v8198, v9230, v11272, v12288, v13330, v14336, v15360, v16404, v17415, v19456, v20480, v21504, v22528, v23552, v24578, v25600, v26624, v27648, v28673","v0, v1027, v2049, v3075, v4111, v5131, v6146, v7172, v8198, v9230, v11272, v12288, v13330, v14336, v15360, v16404, v17415, v19456, v20480, v21504, v22528, v23554, v24576, v25600, v26624, v27649(New2DSXL), v27649",,,,
00008402,00009002,00009902,0000A202,0000AA02,0000B202,CTR-N-HCS?,Camera applet used by Home-menu (CtrApp),"v0, v1036, v2049(Also for 8.1.0-0_New3DS)",,,,,,
00008502,00009102,00009A02,?,?,?,?,Not available on CDN,?,?,?,,,,
00008602,00009202,00009B02,0000A402,0000AC02,0000B402,CTR-N-HMV?,"Instruction Manual, applet for displaying instruction manuals","v0, v1026, v2048, v3072, v4097, v5120(Also for 8.1.0-0_New3DS)",,,,,,
00008702,00009302,00009C02,0000A502,0000AD02,0000B502,CTR-N-HGM?,Game Notes (Cherry),"v0, v1026, v2049, v3073, v4096(Also for 8.1.0-0_New3DS)",,,,,,
00008802,00009402,00009D02,0000A602,0000AE02,0000B602,,Internet Browser(spider),"v6, v1024, v2050, v3074 (EUR)/v3075(USA,JAP), v3088, v4096, v5121, v6149, v7168, v8192, v9232, v10240, v11297",,,,,,
20008802,20009402,20009D02,?,2000AE02,N/A,CTR-N-HBR?,New 3DSInternet Browser(SKATER),"v10, v1027, v2051, v3077, v4096, v5121, v6144, v7184, v8192, v10272",,,,,,
00008A02,,,,,,,Fatal error viewer (ErrDisp),"v0, v1025, v2048, v3072, v4096, v5121, v6144, v7168(Also for 8.1.0-0_New3DS)",,,,,,
00008A03,,,,,,,SAFE_MODE ErrDisp,v0,,,,,,
20008A03,20008A03,20008A03,?,20008A03,N/A,,New_3DSSAFE_MODE ErrDisp,v7169,,,,,,
00008D02,00009602,00009F02,0000A702,0000AF02,0000B702,CTR-N-HFR?,Friend List (friend),"v0, v1026, v2051, v3082, v4099, v5120, v6144(Also for 8.1.0-0_New3DS) (EUR v6, v1024, v3082, v4099, v5120, v6144)",,,,,,
00008E02,00009702,0000A002,0000A802,0000B002,0000B802,CTR-N-HCR?,Notifications (newslist),"v0, v1029, v2054, v3075, v4097 (EUR v6, v1024, v2054, v3075, v4097) (JPN: ..., v4096, v5121)",,,,,,
0000C002,0000C802,0000D002,0000D802,0000DE02,0000E402,CTR-N-HKY?,Software Keyboard (swkbd),"v0, v1026, v2053, v3072, v4096(Also for 8.1.0-0_New3DS)",,,,,,
0000C003,0000C803,0000D003,0000D803,0000DE03,0000E403,,SAFE_MODE Software Keyboard (swkbd),v0,,,,,,
2000C003,2000C803,2000D003,?,2000DE03,N/A,,New 3DSSAFE_MODE Software Keyboard (swkbd),v1024,v0,,,,,
0000C102,0000C902,0000D102,0000D902,0000DF02,0000E502,CTR-N-HMS?,Mii picker (appletEd),"v0, v1026, v2048(Also for 8.1.0-0_New3DS), v3077",,,,,,
0000C302,0000CB02,0000D302,0000DB02,0000E102,0000E702,CTR-N-HCC?,Picture picker (PNOTE_AP),"v0, v1024, v2049(8.1.0-0_New3DS), v3075, v4096",,,,,,
0000C402,0000CC02,0000D402,0000DC02,0000E202,0000E802,CTR-N-HMC?,Voice memopicker (SNOTE_AP),"v0, v3, v1026, v2048(Also for 8.1.0-0_New3DS)",,,,,,
0000C502,,,0000CF02,,,CTR-N-HEEACTR-N-HEEK,"Non-critical (online, etc) error display (error)","v0, v1026, v2053, v3074, v4096(8.1.0-0_New3DS), v5128, v6145",,,,,,
0000C503,,,0000CF03,,,,SAFE_MODE error applet,v0,,,,,,
2000C503,2000C503,2000C503,?,2000CF03,N/A,,New 3DSSAFE_MODE error applet,v1024,,,,,,
0000CD02,,,0000D502,,,CTR-N-HADACTR-N-HADK,Circle Pad Protest/calibration applet (extrapad),"v1, v1026, v2048(8.1.0-0_New3DS), v3073, v4097(New2DSXL), v4097",,,,,,
0000C602,0000CE02,0000D602,N/A,0000E302,0000E902,CTR-N-HAA?,"eShop applet, used by applications for accessing the eShop, for DLC/etc. Also used by the eShop application itself. (mint)","v5, v1028, v2050, v3072, v4109, v5125(v5123 for JPN), v6145, v7168(8.1.0-0_New3DS), v8200, v9224, v10247, v11264, v12293, v13312, v14337, v15360, v16384, v17408(EUR), v18432, v19457",,,,,,
0000BC02,0000BD02,0000BE02,?,N/A,?,CTR-N-HAE?,Miiverse (olv),"v14, v1024, v2048(Also for 8.1.0-0_New3DS), v3072, v4096",,,,,,
0000F602,,,?,N/A,?,CTR-N-HAGA,"Likely the ""system library"" for Miiverse (memolib)","v5, v1024(8.1.0-0_New3DS), v2050, v3072",,,,,,
00008302,00008B02,0000BA02,?,N/A,?,CTR-N-HAH?,In-app Miiverse-posting applet (solv3),v6,,,,,,
00009502,00009E02,0000B902,?,00008C02,0000BF02,CTR-N-HA3?,Cabinet (amiibo Settings),"v7, (v1024 for TWN), v1031",,,,,,
00010202,00010202,00010202,00010202,00010202,00010202,,"Probably Mii-related, contains ""CFL_Res.dat"" in the RomFS.",v0,,,,,,
00010402,00010402,00010402,00010402,00010402,00010402,,"Region Manifest. Mounted as ""area:""","v0, v1024, v2050, v3072, v4098, v5122",,,,,,
00010602,00010602,00010602,00010602,00010602,00010602,,"Non-Nintendo TLS Root-CA Certificates (RomFS contains files with filename ""CACERT_PUBLIC_CA_<val>.der"", where <val> is 5..8)","v2, v1024",,,,,,
,,,00011002,,,,"""CHN/CN"" Dictionary.",v1,,,,,,
,,,,,00011102,,"""TWN/TN"" dictionary.",v1,,,,,,
,,00011202,,,,,"""NL/NL"" dictionary.",v0,,,,,,
,,00011302,,,,,"""EN/GB"" dictionary.",v0,,,,,,
,00011402,,,,,,"""EN/US"" dictionary.",v0,,,,,,
,,00011502,,,,,"""FR/FR/regular"" dictionary.",v0,,,,,,
,00011602,,,,,,"""FR/CA/regular"" dictionary.",v0,,,,,,
,,00011702,,,,,"""DE/regular"" dictionary.",v0,,,,,,
,,00011802,,,,,"""IT/IT"" dictionary.",v0,,,,,,
00011902,,,,,,,"""JA_small/32"" dictionary.",v0,,,,,,
,,,,00011A02,,,"""KO/KO"" dictionary.",v1,,,,,,
,,00011B02,,,,,"""PT/PT/regular"" dictionary.",v0,,,,,,
,,00011C02,,,,,"""RU/regular"" dictionary.",v0,,,,,,
,00011D02,00011D02,,,,,"""ES/ES"" dictionary.",v0,,,,,,
,00011E02,,,,,,"""PT/BR/regular"" dictionary.",v0,,,,,,
00012202,00012302,00012102,00012402,00012502,00012602,,?contains a lists with error strings,"v1026, v2053, v3073, v4096, v5120, v6149, v7168, v8192, v9218, v10242, v11269, v12289, v13312, v13313(JPN: v14336) (KOR: v6148, v7169, v8193, v9216, v10240)",,,,,,
00013202,00013302,00013102,00013502,,,,"Mounted as ""eula:""","v0, v1024, v2049 USA: v1024, v2051, v3074, v4100(EUR-only), v4099, v6144, v7168 (KOR: v1025)",,,,,,
00014002,00014002,00014002,00014002,00014002,00014002,,"JPN/EUR/USA System Font (""font:"")",v0,,,,,,
00014102,00014102,00014102,00014102,00014102,00014102,,"CHN System Font (""font:"")","v0, v1024",,,,,,
00014202,00014202,00014202,00014202,00014202,00014202,,"KOR System Font (""font:"")","v0, v1024",,,,,,
00014302,00014302,00014302,00014302,00014302,00014302,,"TWN System Font (""font:"")","v0, v1024",,,,,,
